icao,iata,name,city,country,lat,lng,alt
AYGA,GKA,Goroka Airport,Goroka,Papua New Guinea,-6.0816898346,145.391998291,5282
AYMD,MAG,Madang Airport,Madang,Papua New Guinea,-5.2070798874,145.789001465,20
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.296005249,5388
AYNZ,LAE,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977,239
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.4433803558,147.2200012207,146
AYWK,WWK,Wewak International Airport,Wewak,Papua New Guinea,-3.5838301182,143.669006348,19
BGBW,UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877,112
BGGH,GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.6781005859,283
BGSF,SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647,165
BGTL,THU,Thule Air Base,Thule,Greenland,76.5311965942,-68.7032012939,251
BIAR,AEY,Akureyri Airport,Akureyri,Iceland,65.6600036621,-18.0727005005,6
BIEG,EGS,Egilsstaðir Airport,Egilsstadir,Iceland,65.2833023071,-14.4013996124,76
BIHN,HFN,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272,24
BIHU,HZK,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001,48
BIIS,IFJ,Ísafjörður Airport,Isafjordur,Iceland,66.0580978394,-23.1352996826,8
BIKF,KEF,Keflavik International Airport,Keflavik,Iceland,63.9850006104,-22.6056003571,171
BIPA,PFJ,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965,11
BIRK,RKV,Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415,48
BISI,SIJ,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167,10
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.4243011475,-20.2789001465,326
CYAM,YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.4850006104,-84.5093994141,630
CYAV,YAV,Winnipeg / St. Andrews Airport,Winnipeg,Canada,50.0564002991,-97.0325012207,760
CYAW,YAW,Halifax / CFB Shearwater Heliport,Halifax,Canada,44.6397018433,-63.4994010925,144
CYAY,YAY,St. Anthony Airport,St. Anthony,Canada,51.3918991089,-56.0830993652,108
CYAZ,YAZ,Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583,80
CYBB,YBB,Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098,56
CYBC,YBC,Baie Comeau Airport,Baie Comeau,Canada,49.1324996948,-68.2043991089,71
CYBG,YBG,CFB Bagotville,Bagotville,Canada,48.3306007385,-70.9963989258,522
CYBK,YBK,Baker Lake Airport,Baker Lake,Canada,64.2988967896,-96.077796936,59
CYBL,YBL,Campbell River Airport,Campbell River,Canada,49.9508018494,-125.2710037231,346
CYBR,YBR,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897,1343
CYCB,YCB,Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488,90
CYCD,YCD,Nanaimo Airport,Nanaimo,Canada,49.0549702249,-123.869862556,92
CYCG,YCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.2963981628,-117.632003784,1624
CYCH,YCH,Miramichi Airport,Chatham,Canada,47.007801,-65.449203,108
CYCL,YCL,Charlo Airport,Charlo,Canada,47.990799,-66.330299,132
CYCO,YCO,Kugluktuk Airport,Coppermine,Canada,67.8167037964,-115.143997192,74
CYCT,YCT,Coronation Airport,Coronation,Canada,52.0750007629,-111.444999695,2595
CYCW,YCW,Chilliwack Airport,Chilliwack,Canada,49.1528015137,-121.939002991,32
CYCY,YCY,Clyde River Airport,Clyde River,Canada,70.4860992432,-68.5167007446,87
CYZS,YZS,Coral Harbour Airport,Coral Harbour,Canada,64.1932983398,-83.3593978882,210
CYDA,YDA,Dawson City Airport,Dawson,Canada,64.0430984497,-139.1280059814,1215
CYDB,YDB,Burwash Airport,Burwash,Canada,61.3711013794,-139.0410003662,2647
CYDC,YDC,Princeton Airport,Princeton,Canada,49.4681015015,-120.511001587,2298
CYDF,YDF,Deer Lake Airport,Deer Lake,Canada,49.2108001709,-57.3913993835,72
CYDL,YDL,Dease Lake Airport,Dease Lake,Canada,58.4221992493,-130.031997681,2600
CYDN,YDN,Dauphin Barker Airport,Dauphin,Canada,51.1007995605,-100.0520019531,999
CYDQ,YDQ,Dawson Creek Airport,Dawson Creek,Canada,55.7422981262,-120.1829986572,2148
CYEG,YEG,Edmonton International Airport,Edmonton,Canada,53.3097000122,-113.580001831,2373
CYEK,YEK,Arviat Airport,Eskimo Point,Canada,61.0942001343,-94.0708007812,32
CYEN,YEN,Estevan Airport,Estevan,Canada,49.2103004456,-102.966003418,1905
CYET,YET,Edson Airport,Edson,Canada,53.5788993835,-116.464996338,3043
CYEU,YEU,Eureka Airport,Eureka,Canada,79.9946975708,-85.814201355,256
CYEV,YEV,Inuvik Mike Zubko Airport,Inuvik,Canada,68.3041992188,-133.483001709,224
CYFB,YFB,Iqaluit Airport,Iqaluit,Canada,63.756401062,-68.5558013916,110
CYFC,YFC,Fredericton Airport,Fredericton,Canada,45.8689002991,-66.5372009277,68
CYFE,,Forestville Airport,Forestville,Canada,48.7461013794,-69.0971984863,293
CYFO,YFO,Flin Flon Airport,Flin Flon,Canada,54.6781005859,-101.6819992065,997
CYFR,YFR,Fort Resolution Airport,Fort Resolution,Canada,61.1808013916,-113.690002441,526
CYFS,YFS,Fort Simpson Airport,Fort Simpson,Canada,61.7602005005,-121.2369995117,555
CYGK,YGK,Kingston Norman Rogers Airport,Kingston,Canada,44.2252998352,-76.5969009399,305
CYGL,YGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.6253013611,-77.7042007446,639
CYGP,YGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.7752990723,-64.4785995483,112
CYGQ,YGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.778301239,-86.9393997192,1144
CYGR,YGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.4247016907,-61.7780990601,35
CYHB,YHB,Hudson Bay Airport,Hudson Bay,Canada,52.8166999817,-102.310997009,1175
CYHD,YHD,Dryden Regional Airport,Dryden,Canada,49.8316993713,-92.7442016602,1354
CYHI,YHI,Ulukhaktok Holman Airport,Holman Island,Canada,70.762802124,-117.8059997559,117
CYHK,YHK,Gjoa Haven Airport,Gjoa Haven,Canada,68.635597229,-95.8497009277,152
CYHM,YHM,John C. Munro Hamilton International Airport,Hamilton,Canada,43.1735992432,-79.9349975586,780
CYHU,YHU,Montréal / Saint-Hubert Airport,Montreal,Canada,45.5175018311,-73.4169006348,90
CYHY,YHY,Hay River / Merlyn Carter Airport,Hay River,Canada,60.8396987915,-115.782997131,541
CYHZ,YHZ,Halifax / Stanfield International Airport,Halifax,Canada,44.8807983398,-63.5085983276,477
CYIB,YIB,Atikokan Municipal Airport,Atikokan,Canada,48.7738990784,-91.6386032104,1408
CYIO,YIO,Pond Inlet Airport,Pond Inlet,Canada,72.6832962036,-77.9666976929,181
CYJN,YJN,St Jean Airport,St. Jean,Canada,45.2943992615,-73.2810974121,136
CYJT,YJT,Stephenville Airport,Stephenville,Canada,48.5442008972,-58.5499992371,84
CYKA,YKA,Kamloops Airport,Kamloops,Canada,50.7022018433,-120.444000244,1133
CYKF,YKF,Waterloo Airport,Waterloo,Canada,43.4608001709,-80.3786010742,1055
CYKL,YKL,Schefferville Airport,Schefferville,Canada,54.8053016663,-66.8052978516,1709
CYKY,YKY,Kindersley Airport,Kindersley,Canada,51.5175018311,-109.180999756,2277
CYKZ,YKZ,Buttonville Municipal Airport,Toronto,Canada,43.8622016907,-79.3700027466,650
CYLD,YLD,Chapleau Airport,Chapleau,Canada,47.8199996948,-83.3467025757,1470
CYLJ,YLJ,Meadow Lake Airport,Meadow Lake,Canada,54.1253013611,-108.5230026245,1576
CYLL,YLL,Lloydminster Airport,Lloydminster,Canada,53.3092002869,-110.0729980469,2193
CYLT,YLT,Alert Airport,Alert,Canada,82.5177993774,-62.2806015015,100
CYLW,YLW,Kelowna International Airport,Kelowna,Canada,49.9561004639,-119.377998352,1421
CYMA,YMA,Mayo Airport,Mayo,Canada,63.6164016724,-135.8679962158,1653
CYMJ,YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.3302993774,-105.5589981079,1892
CYMM,YMM,Fort McMurray Airport,Fort Mcmurray,Canada,56.653301239,-111.222000122,1211
CYMO,YMO,Moosonee Airport,Moosonee,Canada,51.2910995483,-80.6078033447,30
CYMW,YMW,Maniwaki Airport,Maniwaki,Canada,46.2728004456,-75.9906005859,656
CYMX,YMX,Montreal International (Mirabel) Airport,Montreal,Canada,45.6795005798,-74.0386962891,270
CYNA,YNA,Natashquan Airport,Natashquan,Canada,50.1899986267,-61.7891998291,39
CYND,YND,Ottawa / Gatineau Airport,Gatineau,Canada,45.5217018127,-75.5635986328,211
CYNM,YNM,Matagami Airport,Matagami,Canada,49.7616996765,-77.8028030396,918
CYOC,YOC,Old Crow Airport,Old Crow,Canada,67.570602417,-139.8390045166,824
CYOD,YOD,CFB Cold Lake,Cold Lake,Canada,54.4049987793,-110.2789993286,1775
CYOJ,YOJ,High Level Airport,High Level,Canada,58.6213989258,-117.1650009155,1110
CYOW,YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3224983215,-75.6691970825,374
CYPA,YPA,Prince Albert Glass Field,Prince Albert,Canada,53.2141990662,-105.672996521,1405
CYPE,YPE,Peace River Airport,Peace River,Canada,56.2268981934,-117.4469985962,1873
CYPG,YPG,Southport Airport,Portage-la-prairie,Canada,49.903099,-98.273817,885
CYPK,,Pitt Meadows Airport,Pitt Meadows,Canada,49.2160987854,-122.7099990845,11
CYPL,YPL,Pickle Lake Airport,Pickle Lake,Canada,51.4463996887,-90.2142028809,1267
CYPN,YPN,Port Menier Airport,Port Menier,Canada,49.8363990784,-64.2885971069,167
CYPQ,YPQ,Peterborough Airport,Peterborough,Canada,44.2299995422,-78.3632965088,628
CYPR,YPR,Prince Rupert Airport,Prince Pupert,Canada,54.2860984802,-130.445007324,116
CYPY,YPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,58.76720047,-111.1169967651,761
CYQA,YQA,Muskoka Airport,Muskoka,Canada,44.9747009277,-79.3032989502,925
CYQB,YQB,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303,244
CYQF,YQF,Red Deer Regional Airport,Red Deer Industrial,Canada,52.1822013855,-113.8939971924,2968
CYQG,YQG,Windsor Airport,Windsor,Canada,42.2756004333,-82.9555969238,622
CYQH,YQH,Watson Lake Airport,Watson Lake,Canada,60.1164016724,-128.8220062256,2255
CYQK,YQK,Kenora Airport,Kenora,Canada,49.7882995605,-94.3630981445,1332
CYQL,YQL,Lethbridge County Airport,Lethbridge,Canada,49.6302986145,-112.800003052,3048
CYQM,YQM,Greater Moncton International Airport,Moncton,Canada,46.1122016907,-64.6785964966,232
CYQQ,YQQ,Comox Airport,Comox,Canada,49.7108001709,-124.8870010376,84
CYQR,YQR,Regina International Airport,Regina,Canada,50.4319000244,-104.6660003662,1894
CYQT,YQT,Thunder Bay Airport,Thunder Bay,Canada,48.3718986511,-89.3238983154,653
CYQU,YQU,Grande Prairie Airport,Grande Prairie,Canada,55.1796989441,-118.885002136,2195
CYQV,YQV,Yorkton Municipal Airport,Yorkton,Canada,51.2647018433,-102.4619979858,1635
CYQW,YQW,North Battleford Airport,North Battleford,Canada,52.7691993713,-108.2440032959,1799
CYQX,YQX,Gander International Airport,Gander,Canada,48.9369010925,-54.5680999756,496
CYQY,YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.1613998413,-60.0477981567,203
CYQZ,YQZ,Quesnel Airport,Quesnel,Canada,53.0261001587,-122.5100021362,1789
CYRB,YRB,Resolute Bay Airport,Resolute,Canada,74.7169036865,-94.9693984985,215
CYRI,YRI,Rivière-du-Loup Airport,Riviere Du Loup,Canada,47.7644004822,-69.5847015381,427
CYRJ,YRJ,Roberval Airport,Roberval,Canada,48.5200004578,-72.2656021118,586
CYRM,YRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,52.4296989441,-114.903999329,3244
CYRT,YRT,Rankin Inlet Airport,Rankin Inlet,Canada,62.8114013672,-92.1157989502,94
CYSB,YSB,Sudbury Airport,Sudbury,Canada,46.625,-80.7988967896,1141
CYSC,YSC,Sherbrooke Airport,Sherbrooke,Canada,45.4385986328,-71.6913986206,792
CYSJ,YSJ,Saint John Airport,St. John,Canada,45.3161010742,-65.890296936,357
CYSM,YSM,Fort Smith Airport,Fort Smith,Canada,60.0203018188,-111.9619979858,671
CYSR,YSR,Nanisivik Airport,Nanisivik,Canada,72.982201,-84.613602,2106
CYSU,YSU,Summerside Airport,Summerside,Canada,46.4406013489,-63.8335990906,56
CYSY,YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,71.9938964844,-125.242996216,282
CYTE,YTE,Cape Dorset Airport,Cape Dorset,Canada,64.2300033569,-76.5267028809,164
CYTH,YTH,Thompson Airport,Thompson,Canada,55.8011016846,-97.8641967773,729
CYTR,YTR,CFB Trenton,Trenton,Canada,44.1189002991,-77.5280990601,283
CYTS,YTS,Timmins/Victor M. Power,Timmins,Canada,48.5696983337,-81.376701355,967
CYTZ,YTZ,Billy Bishop Toronto City Centre Airport,Toronto,Canada,43.627499,-79.396202,252
CYUB,YUB,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,69.4332962036,-133.0260009766,15
CYUL,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502,118
CYUT,YUT,Repulse Bay Airport,Repulse Bay,Canada,66.5214004517,-86.2247009277,80
CYUX,YUX,Hall Beach Airport,Hall Beach,Canada,68.7761001587,-81.2425,30
CYUY,YUY,Rouyn Noranda Airport,Rouyn,Canada,48.2061004639,-78.8356018066,988
CYVC,YVC,La Ronge Airport,La Ronge,Canada,55.1514015198,-105.262001038,1242
CYVG,YVG,Vermilion Airport,Vermillion,Canada,53.3558006287,-110.823997498,2025
CYVM,YVM,Qikiqtarjuaq Airport,Broughton Island,Canada,67.5457992554,-64.0314025879,21
CYVO,YVO,Val-d'Or Airport,Val D'or,Canada,48.0532989502,-77.7827987671,1107
CYVP,YVP,Kuujjuaq Airport,Quujjuaq,Canada,58.0960998535,-68.426902771,129
CYVQ,YVQ,Norman Wells Airport,Norman Wells,Canada,65.2816009521,-126.797996521,238
CYVR,YVR,Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108,14
CYVT,YVT,Buffalo Narrows Airport,Buffalo Narrows,Canada,55.8418998718,-108.417999268,1423
CYVV,YVV,Wiarton Airport,Wiarton,Canada,44.7458,-81.107201,729
CYWA,YWA,Petawawa Airport,Petawawa,Canada,45.9522018433,-77.3191986084,427
CYWG,YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.9099998474,-97.2398986816,783
CYWK,YWK,Wabush Airport,Wabush,Canada,52.9219017029,-66.864402771,1808
CYWL,YWL,Williams Lake Airport,Williams Lake,Canada,52.1831016541,-122.054000854,3085
CYWY,YWY,Wrigley Airport,Wrigley,Canada,63.209400177,-123.43699646,489
CYXC,YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,49.6108016968,-115.7819976807,3082
CYXD,YXD,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,53.5724983215,-113.521003723,2202
CYXE,YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.1707992554,-106.6999969482,1653
CYXH,YXH,Medicine Hat Airport,Medicine Hat,Canada,50.018901825,-110.7210006714,2352
CYXJ,YXJ,Fort St John Airport,Fort Saint John,Canada,56.2380981445,-120.7399978638,2280
CYXL,YXL,Sioux Lookout Airport,Sioux Lookout,Canada,50.113899231,-91.9052963257,1258
CYXP,YXP,Pangnirtung Airport,Pangnirtung,Canada,66.1449966431,-65.7136001587,75
CYXR,YXR,Earlton (Timiskaming Regional) Airport,Earlton,Canada,47.6974006546,-79.8473453522,800
CYXS,YXS,Prince George Airport,Prince George,Canada,53.8894004822,-122.679000854,2267
CYXT,YXT,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,54.468498,-128.576009,713
CYXU,YXU,London Airport,London,Canada,43.035599,-81.1539,912
CYXX,YXX,Abbotsford Airport,Abbotsford,Canada,49.0252990723,-122.361000061,195
CYXY,YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,60.7095985413,-135.067001343,2317
CYYB,YYB,North Bay Airport,North Bay,Canada,46.3636016846,-79.4227981567,1215
CYYC,YYC,Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643,3557
CYYD,YYD,Smithers Airport,Smithers,Canada,54.8246994019,-127.1829986572,1712
CYYE,YYE,Fort Nelson Airport,Fort Nelson,Canada,58.8363990784,-122.597000122,1253
CYYF,YYF,Penticton Airport,Penticton,Canada,49.4631004333,-119.6019973755,1129
CYYG,YYG,Charlottetown Airport,Charlottetown,Canada,46.2900009155,-63.1211013794,160
CYYH,YYH,Taloyoak Airport,Spence Bay,Canada,69.5466995239,-93.5766983032,92
CYYJ,YYJ,Victoria International Airport,Victoria,Canada,48.646900177,-123.426002502,63
CYYL,YYL,Lynn Lake Airport,Lynn Lake,Canada,56.863899231,-101.0759963989,1170
CYYN,YYN,Swift Current Airport,Swift Current,Canada,50.2919006348,-107.691001892,2680
CYYQ,YYQ,Churchill Airport,Churchill,Canada,58.739200592,-94.0650024414,94
CYYR,YYR,Goose Bay Airport,Goose Bay,Canada,53.3191986084,-60.4258003235,160
CYYT,YYT,St. John's International Airport,St. John's,Canada,47.618598938,-52.7518997192,461
CYYU,YYU,Kapuskasing Airport,Kapuskasing,Canada,49.413898468,-82.4674987793,743
CYYW,YYW,Armstrong Airport,Armstrong,Canada,50.2902984619,-88.9096984863,1058
CYYY,YYY,Mont Joli Airport,Mont Joli,Canada,48.6086006165,-68.2080993652,172
CYYZ,YYZ,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.6305999756,569
CYZD,YZD,Downsview Airport,Toronto,Canada,43.7425003052,-79.4655990601,652
CYZE,YZE,Gore Bay Manitoulin Airport,Gore Bay,Canada,45.8852996826,-82.5678024292,635
CYZF,YZF,Yellowknife Airport,Yellowknife,Canada,62.4627990723,-114.4400024414,675
CYZH,YZH,Slave Lake Airport,Slave Lake,Canada,55.2930984497,-114.777000427,1912
CYZP,YZP,Sandspit Airport,Sandspit,Canada,53.2542991638,-131.813995361,21
CYZR,YZR,Chris Hadfield Airport,Sarnia,Canada,42.9994010925,-82.3088989258,594
CYZT,YZT,Port Hardy Airport,Port Hardy,Canada,50.6805992126,-127.3669967651,71
CYZU,YZU,Whitecourt Airport,Whitecourt,Canada,54.143901825,-115.7870025635,2567
CYZV,YZV,Sept-Îles Airport,Sept-iles,Canada,50.2233009338,-66.2656021118,180
CYZW,YZW,Teslin Airport,Teslin,Canada,60.1727981567,-132.7429962158,2313
CYZX,YZX,CFB Greenwood,Greenwood,Canada,44.9844017029,-64.9169006348,92
CZFA,ZFA,Faro Airport,Faro,Canada,62.2075004578,-133.3760070801,2351
CZFM,ZFM,Fort Mcpherson Airport,Fort Mcpherson,Canada,67.4075012207,-134.8609924316,116
DAAB,,Blida Airport,Blida,Algeria,36.5036010742,2.8141698837,535
DAAD,,Bou Saada Airport,Bou Saada,Algeria,35.3325004578,4.206389904,1506
DAAE,BJA,Soummam Airport,Bejaja,Algeria,36.7120018005,5.069920063,20
DAAG,ALG,Houari Boumediene Airport,Algier,Algeria,36.6910018921,3.2154099941,82
DAAJ,DJG,Djanet Inedbirene Airport,Djanet,Algeria,24.2928009033,9.4524402618,3176
DAAK,QFD,Boufarik Airport,Boufarik,Algeria,36.545799,2.87611,335
DAAN,,Reggane Airport,Reggan,Algeria,26.710100174,0.2856470048,955
DAAP,VVZ,Illizi Takhamalt Airport,Illizi,Algeria,26.7234992981,8.6226501465,1778
DAAQ,,Ain Oussera Airport,Ain Oussera,Algeria,35.5253982544,2.8787100315,2132
DAAT,TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,22.8115005493,5.4510798454,4518
DAAV,GJL,Jijel Ferhat Abbas Airport,Jijel,Algeria,36.7951011658,5.8736100197,36
DAAY,,Mecheria Airport,Mecheria,Algeria,33.535900116,-0.2423530072,3855
DAAZ,,Relizane Airport,Relizane,Algeria,35.7522010803,0.6262720227,282
DABB,AAE,Annaba Airport,Annaba,Algeria,36.8222007751,7.8091697693,16
DABC,CZL,Mohamed Boudiaf International Airport,Constantine,Algeria,36.2760009766,6.6203899384,2265
DABS,TEE,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,35.4315986633,8.1207199097,2661
DAFH,HRM,Hassi R'Mel Airport,Tilrempt,Algeria,32.9304008484,3.3115398884,2540
DAOB,TID,Bou Chekif Airport,Tiaret,Algeria,35.3410987854,1.4631500244,3245
DAOE,,Bou Sfer Airport,Bou Sfer,Algeria,35.7354011536,-0.8053889871,187
DAOF,TIN,Tindouf Airport,Tindouf,Algeria,27.7003993988,-8.1670999527,1453
DAOI,QAS,Ech Cheliff Airport,Ech-cheliff,Algeria,36.2126998901,1.3317699432,463
DAOL,TAF,Tafaraoui Airport,Oran,Algeria,35.5424003601,-0.5322780013,367
DAON,TLM,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,35.0167007446,-1.4500000477,814
DAOO,ORN,Es Senia Airport,Oran,Algeria,35.6239013672,-0.6211829782,295
DAOS,,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,35.1717987061,-0.5932750106,1614
DAOV,MUW,Ghriss Airport,Ghriss,Algeria,35.207698822,0.147141993,1686
DAUA,AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,27.837600708,-0.1864140034,919
DAUB,BSK,Biskra Airport,Biskra,Algeria,34.7933006287,5.7382302284,289
DAUE,ELG,El Golea Airport,El Golea,Algeria,30.5713005066,2.8595900536,1306
DAUG,GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,32.3841018677,3.7941100597,1512
DAUH,HME,Oued Irara Airport,Hassi Messaoud,Algeria,31.6730003357,6.1404399872,463
DAUI,INZ,In Salah Airport,In Salah,Algeria,27.2509994507,2.5120201111,896
DAUK,TGR,Touggourt Sidi Madhi Airport,Touggourt,Algeria,33.0677986145,6.0886697769,279
DAUL,LOO,Laghouat Airport,Laghouat,Algeria,33.7644004822,2.9283399582,2510
DAUT,TMX,Timimoun Airport,Timimoun,Algeria,29.2371006012,0.2760330141,1027
DAUU,OGX,Ain el Beida Airport,Ouargla,Algeria,31.9172000885,5.412779808,492
DAUZ,IAM,In Aménas Airport,Zarzaitine,Algeria,28.0515003204,9.6429100037,1847
DBBB,COO,Cadjehoun Airport,Cotonou,Benin,6.3572301865,2.3843500614,19
DFFD,OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.3531999588,-1.5124200583,1037
DFOO,BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,11.1600999832,-4.3309698105,1511
DGAA,ACC,Kotoka International Airport,Accra,Ghana,5.6051898003,-0.1667860001,205
DGLE,TML,Tamale Airport,Tamale,Ghana,9.5571899414,-0.863214016,553
DGLW,,Wa Airport,Wa,Ghana,10.0826997757,-2.5076899529,1060
DGSN,NYI,Sunyani Airport,Sunyani,Ghana,7.3618302345,-2.3287599087,1014
DGTK,TKD,Takoradi Airport,Takoradi,Ghana,4.8960599899,-1.7747600079,21
DIAP,ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.2613902092,-3.9262900352,21
DIBK,BYK,Bouaké Airport,Bouake,Cote d'Ivoire,7.7388000488,-5.0736699104,1230
DIDL,DJO,Daloa Airport,Daloa,Cote d'Ivoire,6.7928099632,-6.4731898308,823
DIKO,HGO,Korhogo Airport,Korhogo,Cote d'Ivoire,9.3871803284,-5.5566601753,1214
DIMN,MJC,Man Airport,Man,Cote d'Ivoire,7.272069931,-7.5873599052,1089
DISP,SPY,San Pedro Airport,San Pedro,Cote d'Ivoire,4.7467198372,-6.6608200073,26
DIYO,ASK,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,6.9031701088,-5.3655800819,699
DNAA,ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.0067901611,7.2631697655,1123
DNAK,AKR,Akure Airport,Akure,Nigeria,7.2467398643,5.3010101318,1100
DNBE,BNI,Benin Airport,Benin,Nigeria,6.3169798851,5.5995001793,258
DNCA,CBQ,Margaret Ekpo International Airport,Calabar,Nigeria,4.9760198593,8.3472003937,210
DNEN,ENU,Akanu Ibiam International Airport,Enugu,Nigeria,6.4742698669,7.5619602203,466
DNGU,QUS,Gusau Airport,Gusau,Nigeria,12.1716995239,6.6961097717,1520
DNIB,IBA,Ibadan Airport,Ibadan,Nigeria,7.3624601364,3.9783298969,725
DNIL,ILR,Ilorin International Airport,Ilorin,Nigeria,8.4402103424,4.4939198494,1126
DNJO,JOS,Yakubu Gowon Airport,Jos,Nigeria,9.6398296356,8.8690500259,4232
DNKA,KAD,Kaduna Airport,Kaduna,Nigeria,10.6960000992,7.3201098442,2073
DNKN,KAN,Mallam Aminu International Airport,Kano,Nigeria,12.0475997925,8.5246200562,1562
DNMA,MIU,Maiduguri International Airport,Maiduguri,Nigeria,11.8552999496,13.0809001923,1099
DNMK,MDI,Makurdi Airport,Makurdi,Nigeria,7.7038798332,8.613940239,371
DNMM,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,6.5773701668,3.321160078,135
DNMN,MXJ,Minna Airport,Minna,Nigeria,9.6521701813,6.4622597694,834
DNPO,PHC,Port Harcourt International Airport,Port Hartcourt,Nigeria,5.0154900551,6.9495902061,87
DNSO,SKO,Sadiq Abubakar III International Airport,Sokoto,Nigeria,12.9162998199,5.2071900368,1010
DNYO,YOL,Yola Airport,Yola,Nigeria,9.2575502396,12.4303998947,599
DNZA,ZAR,Zaria Airport,Zaria,Nigeria,11.130200386,7.6858100891,2170
DRRM,MFQ,Maradi Airport,Maradi,Niger,13.5024995804,7.1267499924,1240
DRRN,NIM,Diori Hamani International Airport,Niamey,Niger,13.4814996719,2.1836099625,732
DRRT,THZ,Tahoua Airport,Tahoua,Niger,14.8756999969,5.2653598785,1266
DRZA,AJY,Mano Dayak International Airport,Agadez,Niger,16.9659996033,8.0001096725,1657
DRZD,,Dirkou Airport,Dirkou,Niger,18.9687004089,12.8687000275,1273
DRZF,,Diffa Airport,Diffa,Niger,13.3729000092,12.6267004013,994
DRZR,ZND,Zinder Airport,Zinder,Niger,13.7790002823,8.9837598801,1516
DTMB,MIR,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,35.7580986023,10.754699707,9
DTTA,TUN,Tunis Carthage International Airport,Tunis,Tunisia,36.8510017395,10.2271995544,22
DTTB,,Sidi Ahmed Air Base,Bizerte,Tunisia,37.2453994751,9.7914495468,20
DTTD,,Remada Air Base,Remada,Tunisia,32.3061981201,10.3821001053,1004
DTTF,GAF,Gafsa Ksar International Airport,Gafsa,Tunisia,34.422000885,8.8225002289,1060
DTTG,GAE,Gabès Matmata International Airport,Gabes,Tunisia,33.8768997192,10.1033000946,26
DTTI,,Borj El Amri Airport,Bordj El Amri,Tunisia,36.7212982178,9.9431495667,110
DTTJ,DJE,Djerba Zarzis International Airport,Djerba,Tunisia,33.875,10.7755002975,19
DTTR,EBM,El Borma Airport,El Borma,Tunisia,31.7042999268,9.2546195984,827
